Drug_Name,Reason,Description
Acnesol A Nano Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Acnesol CL Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Acnestal Soap 75gm,Acne,"Â gives smooth, soft, supple and fresh feeling the skin"
Acnestar 10mg Capsule 10'SAcnestar 2.5% Soap 75gmAcnestar S Soap 75gmAcnestar 20mg Capsule 10'S,Acne,"It helps reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Acnetoin 20mg Capsule 10'SAcnetoin Gel 15gm,Acne,Mild moderate acne (spots)
Acnetoin Plus Oinment 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Acnetor AD 1% Ointment 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnetor AD Cream 15Acnetor AD Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnewar Gel 15gm,Acne,the most severe form of acne (nodular acne)
Acnewar Plus Gel 15gm,Acne,the most severe form of acne (nodular acne)
Acnex 10mg Capsule 10'SAcnex 20mg Capsule 10'SAcnex Bar 75gm,Acne,the most severe form of acne (nodular acne)
Acnezyl Gel(Topical) 10gm,Acne,acne vulgaris
Acnicin Gel 15gmAcnicin 1/1% Solution 25ml,Acne,acne vulgaris
Acnil Soap 75gm,Acne,mild moderate acne(spots)
Acnin Cream 50gm,Acne,treatment of dry scaly skin disorders of the scalp
Acnin Pimple Care Face Pack 50gm,Acne,Mild moderate acne (spots)
Acno 0.05% Gel 15gmAcno 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Acnoff Anti Acne Bar 100gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnorm Lotion 180ml,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Acnovate Gel 15gm,Acne,the most severe form of acne (nodular acne)
Acnovate Trio Gel 15gm,Acne,the most severe form of acne (nodular acne)
Acutret 10mg Capsule 10'SAcutret 30mg Capsule 10'SAcutret 20mg Capsule 10'SAcutret 5mg Capsule 10'S,Acne,the most severe form of acne (nodular acne)
Aczit 10mg Softgel 10'S,Acne,acne vulgaris
Adabor Gel 15gm,Acne,acne vulgaris
Adacin Gel 15gm,Acne,mild moderate acne(spots)
Adaclene Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Adaferin Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Adalene Nano Gel 15mg,Acne,"Â gives smooth, soft, supple and fresh feeling the skin"
Adapen Gel 15gm,Acne,"It helps reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Adaple Gel 15gmAdaple C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Adapnil Gel 15gm,Acne,Mild moderate acne (spots)
Adiff Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Adistar Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Adistarc Gel 10gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Adit 0.05% Cream 20gmAdit 0.025% Cream 20gm,Acne,the most severe form of acne (nodular acne)
Adlene Gel 15gm,Acne,the most severe form of acne (nodular acne)
Admark Gel 15gm,Acne,the most severe form of acne (nodular acne)
Ahaglow Acne Control Moisturizing Gel 50gm,Acne,acne vulgaris
Airet 0.50% Cream 15gmAiret 0.10% Cream 15gm,Acne,acne vulgaris
Airol Cream 20gmAirol 0.03% Cream 20gmAirol 0.05% Cream 20gm,Acne,mild moderate acne(spots)
Aknaybar Bathing Bar 100gm,Acne,treatment of dry scaly skin disorders of the scalp
Akneroxid 10% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
ALAN Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Alene Gel 15gm,Acne,Mild moderate acne (spots)
Alesa 2.5% Gel 1gmAlesa 5% Gel 1gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Alight Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Alight Plus Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Alite Cream 15gmAlite Soap 75gm,Acne,the most severe form of acne (nodular acne)
Alite Plus Gel 15gm,Acne,the most severe form of acne (nodular acne)
Allyte 1% Gel 20gm,Acne,the most severe form of acne (nodular acne)
Alonurish Anti Acne Foaming Face Wash 60ml,Acne,acne vulgaris
Amypure Tablet 90'SAmypure Tablet 100'S,Acne,acne vulgaris
AP Gel 10gm,Acne,mild moderate acne(spots)
Apalene C Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Athoderm 1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Atranza 10mg Capsule 100'S,Acne,treatment of dry scaly skin disorders of the scalp
Atret 0.5% Cream 30gmATRET 0.025% Cream 30gm,Acne,Mild moderate acne (spots)
Azac Cream 15gmAzac Soap 75gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Azecne 20% Cream 15gmAzecne 10% Cream 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Aziderm 10% Cream 15gmAziderm 20% Gel 15gmAziderm 10% Gel 15gmAziderm 20% Cream 15gmAziderm 15% Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Azobril 15% Cream 20gm,Acne,the most severe form of acne (nodular acne)
Baclytic Gel 15gm,Acne,the most severe form of acne (nodular acne)
Bdiff A Gel 15gm,Acne,the most severe form of acne (nodular acne)
Bende Gel(Topical) 20gmBende Gel(Topical) 30gm,Acne,acne vulgaris
Bengel 5% Gel 30gmBengel AC 5% Gel 30gmBengel 2.5% Gel 30gm,Acne,acne vulgaris
Bengel AC 2.5% Gel 30gm,Acne,mild moderate acne(spots)
Bengel Acra 2.5% Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Benzac AC 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Benzac AC 5% Gel 20gm,Acne,"Â gives smooth, soft, supple and fresh feeling the skin"
Benzer 5% Gel 20gmBenzer 2.5% Gel 20gm,Acne,"It helps reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Benzonext 5% Gel 20gmBenzonext Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Benzonix 1.25% Soap 75gmBenzonix 2.5% Soap 75gmBenzonix Gel 20gm,Acne,Mild moderate acne (spots)
Benzox AC 5% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Blokage Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Botanica 3D Serum 30ml,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Brevoxyl Cream 20gm,Acne,the most severe form of acne (nodular acne)
Brevoxyl Creamy Wash Lotion 50gm,Acne,the most severe form of acne (nodular acne)
Brite Opti Cream 10gm,Acne,the most severe form of acne (nodular acne)
Calosoft Plus Cream 30gm,Acne,acne vulgaris
Camyda 300mg Capsule 10'SCamyda 1% Gel 10gm,Acne,acne vulgaris
Canvaz Gel(Topical) 15gm,Acne,mild moderate acne(spots)
Cdiff A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Cinason N Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Cleargel Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Cleargel AP Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Clearliv Capsule 60'S,Acne,"Â gives smooth, soft, supple and fresh feeling the skin"
CLENCHIN Gel(Topical) 20gm,Acne,"It helps reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
CLENCHIN Z Cream 10gm,Acne,Mild moderate acne (spots)
Cliac Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Click Gel 20gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clid 1% Gel 20gmClid Gel 30gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Cliface Gel 20gm,Acne,the most severe form of acne (nodular acne)
Cliface A Gel 15gm,Acne,the most severe form of acne (nodular acne)
Cligel N Gel 20gmCligel Gel 15gm,Acne,the most severe form of acne (nodular acne)
Cligel A Gel 15gm,Acne,acne vulgaris
Cligel T Gel 15gm,Acne,acne vulgaris
Climple 1% Gel 15gm,Acne,mild moderate acne(spots)
Climple A Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Clin 1% Gel 10gmClin Tablet 10's,Acne,Mild moderate acne (spots)
Clin 3 Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Clin AD Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clinadd Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clinapil 1% Gel 10gm,Acne,the most severe form of acne (nodular acne)
Clincent 1% Gel 20gm,Acne,the most severe form of acne (nodular acne)
Clincent A Gel 15gm,Acne,the most severe form of acne (nodular acne)
Clincin Gel 20gmCLINCIN Gel 10gm,Acne,acne vulgaris
Clincin N GE Gel 20gm,Acne,acne vulgaris
Clincitop Gel 20gmClincitop Gel(Topical) 15gm,Acne,mild moderate acne(spots)
Clinda 1% Gel 10gm,Acne,treatment of dry scaly skin disorders of the scalp
Clindac A Foaming Facewash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin
Clindac A Solution 25mlCLINDAC A 1% Gel 20gmClindac A Gel 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling the skin"
Clindakem A Gel 20gm,Acne,"It helps reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Clindap Gel 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Clindapene Gel 15gm,Acne,Mild moderate acne (spots)
Clindasure 300mg Capsule 10'SClindasure 150mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Clindoxyl Gel 15gmClindoxyl Gel 10gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clinet Gel 20gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Clingard Gel 15gm,Acne,the most severe form of acne (nodular acne)
Clinka Gel 20gm,Acne,the most severe form of acne (nodular acne)
Clinka N Gel 10gm,Acne,the most severe form of acne (nodular acne)
CLINKRICK Gel 10gm,Acne,acne vulgaris
Clinlup 1% Gel 10gm,Acne,acne vulgaris
Clinmax A Gel 30gmClinmax Gel 20gm,Acne,mild moderate acne(spots)
Clinmiface A Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Clinopak 300Mg Tablet 10'sClinopak Gel 20gmClinopak 150Mg Tablet 10's,Acne,combined with anti-acne actives of both natural and synthetic origin
Clinoxid 15% Gel 15gmClinoxid 1% Gel 15gmClinoxid 1/2.5 Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Clinxa Gel 20gm,Acne,Mild moderate acne (spots)
Clinxa A Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Comedolytic Cream 20gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Cortina H Cream 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Cosmoderm Kit 1'S,Acne,the most severe form of acne (nodular acne)
Cospeel Shampoo 50ml,Acne,the most severe form of acne (nodular acne)
Crixan Gel 15gm,Acne,the most severe form of acne (nodular acne)
D Acne Soap 75gmD Acne Gel 10gm,Acne,acne vulgaris
D Acne I 20mg Capsule 10'SD Acne I 10mg Capsule 10'S,Acne,acne vulgaris
D Acne Plus Gel 15gm,Acne,mild moderate acne(spots)
Dalcihit 300Mg Capsule 10's,Acne,treatment of dry scaly skin disorders of the scalp
Decdan Lite Cream 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Decroma 6% Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Depiglare Cream 15gm,Acne,Mild moderate acne (spots)
Deriva Aqueous Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Deriva Bpo Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Deriva Cms Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Deriva MS Gel 15gm,Acne,the most severe form of acne (nodular acne)
Derlin Gel 10gm,Acne,the most severe form of acne (nodular acne)
DERMADEW B Bar 75gm,Acne,the most severe form of acne (nodular acne)
Dersol BH Ointment 30gm,Acne,acne vulgaris
Doxt SL 100mg/5B Tablet 8'S,Acne,acne vulgaris
DS ACNE Face Wash 100gm,Acne,mild moderate acne(spots)
EGA Night Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Elosone HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Emolene Cream 100gm,Acne,"Â gives smooth, soft, supple and fresh feeling the skin"
ENCLINA Gel(Topical) 20gm,Acne,"It helps reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
ENCLINA ADP Gel(Topical) 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Enshine Ointment 15gm,Acne,Mild moderate acne (spots)
Entice Acne Bar 75gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Entice Natura Soap 75gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Epiduo Gel 30gmEpiduo Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Erytop Lotion 25mlErytop Gel 20gm,Acne,the most severe form of acne (nodular acne)
Erytop A Gel 15gm,Acne,the most severe form of acne (nodular acne)
Ethitret 20mg Capsule 10'SEthitret 10mg Capsule 10'S,Acne,the most severe form of acne (nodular acne)
Eudyna 0.05% Cream 20gm,Acne,acne vulgaris
Eunozit 10mg Capsule 10'S,Acne,acne vulgaris
Exazel 15% Cream 15gmExazel 10% Cream 15gmExazel Cream 10gmExazel 20% Cream 15gm,Acne,mild moderate acne(spots)
Exazel N Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Excela Cream 50gm,Acne,combined with anti-acne actives of both natural and synthetic origin
EXCEX Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Exel Cream 16Gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Ezanic 10% Gel 15gmEzanic 10% Cream 15gmEzanic 20% Gel 15gmEzanic 20% Cream 15gm,Acne,"Â gives smooth, soft, supple and fresh feeling the skin"
Fabeau Soap 1'S,Acne,"It helps reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Facebenz A Gel 15gm,Acne,Mild moderate acne (spots)
Faceclin Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Faceclin A Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Faceclin AT Gel 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Femcinol A Gel 20gm,Acne,the most severe form of acne (nodular acne)
Femcinol Adp Gel 15gm,Acne,the most severe form of acne (nodular acne)
Femolink Cream 20gm,Acne,the most severe form of acne (nodular acne)
Flexon Cream 15gm,Acne,acne vulgaris
Foracne Plus Gel 15gm,Acne,acne vulgaris
Ga 12 Cream 30gm,Acne,mild moderate acne(spots)
Ga 6 Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Glintra Gel 15gmGlintra A Gel 15gmGlintra Soap 75gmGlintra Gel 30gm,Acne,Mild moderate acne (spots)
Glocin Gel Gel(Topical) 20gmGLOCIN Gel 30gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Glotret 30mg Tablet 10'SGlotret 20mg Tablet 10'SGlotret 10mg Tablet 10'SGlotret 5mg Tablet 10'S,Acne,It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads white heads and pimple
Glow Lite Cream 20gm,Acne,It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads white heads and pimple
Glowcare Forte Cream 10gm,Acne,the most severe form of acne (nodular acne)
Glowcor Cream 20gm,Acne,the most severe form of acne (nodular acne)
Glyaha Lotion 50gm,Acne,the most severe form of acne (nodular acne)
Glyaha Koj Lotion 30gm,Acne,acne vulgaris
Glylak 70% Solution 100ml,Acne,acne vulgaris
Hexilak Ultra C Gel 20gm,Acne,mild moderate acne(spots)
Hostacycline 500mg Capsule 4'S,Acne,treatment of dry scaly skin disorders of the scalp
HQ Lite Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
HTM Cream 15gm,Acne,gives smooth soft supple and fresh feeling the skin
I Deriva 20mg Capsule 10'SI Deriva 10mg Capsule 10'S,Acne,It helps reduce swelling. It can help reduce tenderness and pain when applied on a red swollen pimple
Ibitret 10mg Softgel 10'SIbitret 20mg Softgel 10'S,Acne,treatment of dry scaly skin disorders of the scalp
Iret 20mg Capsule 10'S,Acne,Mild moderate acne (spots)
Isac 20mg Capsule 10'S,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Isac 10mg Capsule 10'S,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Isina 20mg Capsule 10'S,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
ISININ 20mg Capsule 10's,Acne,the most severe form of acne (nodular acne)
ISO Aret 20mg Softgel 10'S,Acne,the most severe form of acne (nodular acne)
ISO CLIN 10mg Capsule 10's,Acne,the most severe form of acne (nodular acne)
ISO T 20mg Capsule 10'S,Acne,acne vulgaris
Isoace 20mg Capsule 10'SIsoace 10mg Capsule 10'S,Acne,acne vulgaris
Isobest 20mg Capsule 10'SIsobest 10mg Capsule 10'S,Acne,mild moderate acne(spots)
Isofeel 0.025 Cream 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Isofeel 0.05 Cream 30gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Isofeel 0.1 Gel 30gm,Acne,treatment of dry scaly skin disorders of the scalp
Isofeel 10 Capsule 10's,Acne,Mild moderate acne (spots)
Isofeel 20 Capsule 10's,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Isofeel 30 Capsule 10's,Acne,It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads white heads and pimple
Isofeel 40 Capsule 10's,Acne,It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads white heads and pimple
Medapine AC Gel 15gmMedapine 1% Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Mederma Plus Intense Gel 10gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Medsop Soap 100gmMedsop Soap 75gmMedsop Acne Soap 75gm,Acne,gives smooth soft supple and fresh feeling the skin
Melacare HC Cream 15gm,Acne,It helps reduce swelling. It can help reduce tenderness and pain when applied on a red swollen pimple
Melagard Tube 1'S,Acne,treatment of dry scaly skin disorders of the scalp
Melalite Plus Cream 15gm,Acne,Mild moderate acne (spots)
Melalong AD Cream 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
MELANORM MS Cream 15gm,Acne,It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads white heads and pimple
Melasol Cream 15gm,Acne,It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads white heads and pimple
Melnor Cream 20gm,Acne,the most severe form of acne (nodular acne)
Metasone Plus Cream 15gm,Acne,the most severe form of acne (nodular acne)
Microbenz 3.5% Aqueous Gel 15gm,Acne,the most severe form of acne (nodular acne)
Mimosee Gel 20gm,Acne,acne vulgaris
Minokem N 2% Lotion 60ml,Acne,acne vulgaris
Minova 100mg Tablet 4'S,Acne,mild moderate acne(spots)
Minoz Bpo Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Minoz S Face Wash 50ml,Acne,combined with anti-acne actives of both natural and synthetic origin
Miroir Cream 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Momikem HT Cream 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
MOMZOT HT Cream 15gm,Acne,gives smooth soft supple and fresh feeling the skin
Nayzit Gel 15gmNayzit 20mg Capsule 10'SNayzit 10mg Capsule 10'S,Acne,It helps reduce swelling. It can help reduce tenderness and pain when applied on a red,"swollen pimple."""
NEUTIN Capsule 10's,Acne,Mild moderate acne (spots)
Nexret 0.10% Gel 15gmNexret 0.04% Gel 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Nilac Gel 20gmNilac A Gel 20gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Nioclean Gel 20gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Nioclean AD Gel 15gm,Acne,the most severe form of acne (nodular acne)
Nioret Nano Gel 15gm,Acne,the most severe form of acne (nodular acne)
NO Scars 1% Facewash 60ml,Acne,the most severe form of acne (nodular acne)
NUPLENE C Gel 15gm,Acne,acne vulgaris
OBRIL Cream 20gm,Acne,acne vulgaris
Ocotret 10mg Tablet 10'SOcotret 20mg Tablet 10'S,Acne,mild moderate acne(spots)
Oraret 10mg Capsule 10'SOraret 20mg Capsule 10'S,Acne,treatment of dry scaly skin disorders of the scalp
Oxidoben Gel(Topical) 15gm,Acne,Mild moderate acne (spots)
Oxtiv AP Gel(Topical) 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Paknet C Gel(Topical) 15gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Papulex Cream 15gmPapulex Cleansing Gel 100ml,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Percuna 2.5% Gel 20gmPercuna 5% Gel 20gm,Acne,the most severe form of acne (nodular acne)
Pernex AC 2.5% Gel 20gmPernex AC 5% Gel 50gmPernex AC 5% Gel 20gm,Acne,the most severe form of acne (nodular acne)
Perobar 5% Bar 75gmPerobar 2.5% Bar 75gm,Acne,the most severe form of acne (nodular acne)
Peroclin 5% Gel 15gmPeroclin 2.5% Gel 15gm,Acne,acne vulgaris
Peroduo Gel 15gm,Acne,acne vulgaris
Perowas 2.5% Face Wash 50gm,Acne,mild moderate acne(spots)
Perowash 2.50% Facewash 50gm,Acne,treatment of dry scaly skin disorders of the scalp
Persol Forte Cream 20gmPersol AC 5mg Gel 20gmPersol Forte Cream 30gmPersol 2.5% Soap 75gmPersol 2.5% Gel 20gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Persol AC 2.5% Gel 30gm,Acne,"Â gives smooth, soft, supple and fresh feeling the skin"
Persol AC 5 Gel 30gm,Acne,"It helps reduce swelling. It can help reduce tenderness and pain when applied on a red, swollen pimple."
Persol Plus Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Pigmason Cream 20gm,Acne,Mild moderate acne (spots)
Pimoff 1% Gel 20gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
Pimple Cure Cream 20gm,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Pinoin 10mg Capsule 10'SPinoin 5mg Tablet 10'SPinoin 0.05% Cream 20gmPinoin 20mg Capsule 10'SPinoin 0.025% Cream 20gmPinoin 5mg Capsule 10'S,Acne,"It is acne vulgaris in people 12 years of age and older. Acne vulgaris is a condition in which the skin has blackheads, white heads and pimple"
Postac Cream 30gm,Acne,the most severe form of acne (nodular acne)
Purodil Tablet 30'SPurodil Gel 20gm,Acne,the most severe form of acne (nodular acne)
Refinity 70% Kit 1'S,Acne,the most severe form of acne (nodular acne)
Resoten 10mg Capsule 10'SResoten 20mg Capsule 10'S,Acne,acne vulgaris
Retik Cream 30gm,Acne,acne vulgaris
Retino A Micro 0.04% Gel 15gmRetino A Micro Cream 15gm,Acne,mild moderate acne(spots)
Retino A 0.025% Cream 20gmRetino A 0.05% Cream 20gm,Acne,treatment of dry scaly skin disorders of the scalp
Retino A Micro 0.1% Gel 15gm,Acne,combined with anti-acne actives of both natural and synthetic origin
Retino AC Gel 15gm,Acne,treatment of dry scaly skin disorders of the scalp
Retiso 10mg Capsule 10'SRetiso 20mg Capsule 10'S,Acne,Mild moderate acne (spots)
Revize 0.02% Creams 20gmRevize Cream 15gm,Acne,A RET 0.025% is a prescription medicine that is reduce fine wrinkles
